lp,Residuo tipo,Kg,Origen,Comentarios,,,,,,,,,,,,,,,,
28/2/2020,Cartón segunda,96,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Diario,37,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Revista,66,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Planilla blanca,130,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Vidrio,483,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Aluminio,9,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Plástico,70,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Nylon,26,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Hojalata,40,Puntos Verdes,,,,,,,,,,,,,,,,,
28/2/2020,Rechazo (basura),179,Puntos Verdes,,,,,,,,,,,,,,,,,
11/03/2020,Hojalata,259,Recolección Diferenciada,,,,,,,,,,,,,,,,,
11/3/2020,Rechazo (basura),2437,Recolección Diferenciada,,,,,,,,,,,,,,,,,
31/3/2020,Tetra,68,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Pet Cristal,392,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Pet Color,63,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Cartón,218,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Cartón segunda,168,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Diario,86,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Revista,110,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Planilla blanca,198,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Vidrio,1091,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Tapitas,29,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Aluminio,8,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Plástico,111,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Nylon,66,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Telgopor,1,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Hojalata,60,Puntos Verdes,,,,,,,,,,,,,,,,,
31/3/2020,Rechazo (basura),409,Puntos Verdes,,,,,,,,,,,,,,,,,
